Time (s)	Channel 1 (V)	DIO  0	DIO  1	DIO  2	DIO  3
-1.595e-05	-0.03238661604477441	0	0	1	1
-1.594e-05	-0.03137516463568511	0	0	1	1
-1.593e-05	-0.03339806745386369	0	0	1	1
-1.592e-05	-0.03339806745386369	0	0	1	1
-1.591e-05	-0.03272376651447084	0	0	1	1
-1.59e-05	-0.03238661604477441	0	0	1	1
-1.589e-05	-0.03373521792356012	0	0	1	1
-1.588e-05	-0.03204946557507797	0	0	1	1
-1.587e-05	-0.03238661604477441	0	0	1	1
-1.586e-05	-0.03339806745386369	0	0	1	1
-1.585e-05	-0.03238661604477441	0	0	1	1
-1.584e-05	-0.03272376651447084	0	0	1	1
-1.583e-05	-0.03238661604477441	0	0	1	1
-1.582e-05	-0.03204946557507797	0	0	1	1
-1.581e-05	-0.03306091698416726	0	0	1	1
-1.58e-05	-0.03171231510538154	0	0	1	1
-1.579e-05	-0.03103801416598869	0	0	1	1
-1.578e-05	-0.03103801416598869	0	0	1	1
-1.577e-05	-0.03204946557507797	0	0	1	1
-1.576e-05	-0.03238661604477441	0	0	1	1
-1.575e-05	-0.03137516463568511	0	0	1	1
-1.574e-05	-0.03272376651447084	0	0	1	1
-1.573e-05	-0.03171231510538154	0	0	1	1
-1.572e-05	-0.03204946557507797	0	0	1	1
-1.571e-05	-0.03103801416598869	0	0	1	1
-1.57e-05	-0.03070086369629226	0	0	1	1
-1.569e-05	-0.03137516463568511	0	0	1	1
-1.568e-05	-0.03103801416598869	0	0	1	1
-1.567e-05	-0.03204946557507797	0	0	1	1
-1.566e-05	-0.03070086369629226	0	0	1	1
-1.565e-05	-0.03103801416598869	0	0	1	1
-1.564e-05	-0.03036371322659583	0	0	1	1
-1.563e-05	-0.0300265627568994	0	0	1	1
-1.562e-05	-0.03103801416598869	0	0	1	1
-1.561e-05	-0.03103801416598869	0	0	1	1
-1.56e-05	-0.0300265627568994	0	0	1	1
-1.559e-05	-0.03137516463568511	0	0	1	1
-1.558e-05	-0.03036371322659583	0	0	1	1
-1.557e-05	-0.03070086369629226	0	0	1	1
-1.556e-05	-0.03036371322659583	0	0	1	1
-1.555e-05	-0.03103801416598869	0	0	1	1
-1.554e-05	-0.03036371322659583	0	0	1	1
-1.553e-05	-0.03103801416598869	0	0	1	1
-1.552e-05	-0.03070086369629226	0	0	1	1
-1.551e-05	-0.02968941228720297	0	0	1	1
-1.55e-05	-0.02968941228720297	0	0	1	1
-1.549e-05	-0.02968941228720297	0	0	1	1
-1.548e-05	-0.03137516463568511	0	0	1	1
-1.547e-05	-0.03070086369629226	0	0	1	1
-1.546e-05	-0.0300265627568994	0	0	1	1
-1.545e-05	-0.02968941228720297	0	0	1	1
-1.544e-05	-0.02968941228720297	0	0	1	1
-1.543e-05	-0.02901511134781011	0	0	1	1
-1.542e-05	-0.02901511134781011	0	0	1	1
-1.541e-05	-0.02732935899932797	0	0	1	1
-1.54e-05	-0.0300265627568994	0	0	1	1
-1.539e-05	-0.0300265627568994	0	0	1	1
-1.538e-05	-0.03036371322659583	0	0	1	1
-1.537e-05	-0.0300265627568994	0	0	1	1
-1.536e-05	-0.02800365993872083	0	0	1	1
-1.535e-05	-0.02935226181750654	0	0	1	1
-1.534e-05	-0.02901511134781011	0	0	1	1
-1.533e-05	-0.02901511134781011	0	0	1	1
-1.532e-05	-0.02732935899932797	0	0	1	1
-1.531e-05	-0.03036371322659583	0	0	1	1
-1.53e-05	-0.02968941228720297	0	0	1	1
-1.529e-05	-0.02968941228720297	0	0	1	1
-1.528e-05	-0.02834081040841726	0	0	1	1
-1.527e-05	-0.02800365993872083	0	0	1	1
-1.526e-05	-0.02800365993872083	0	0	1	1
-1.525e-05	-0.02699220852963154	0	0	1	1
-1.524e-05	-0.02834081040841726	0	0	1	1
-1.523e-05	-0.02834081040841726	0	0	1	1
-1.522e-05	-0.02867796087811368	0	0	1	1
-1.521e-05	-0.02901511134781011	0	0	1	1
-1.52e-05	-0.02665505805993511	0	0	1	1
-1.519e-05	-0.02968941228720297	0	0	1	1
-1.518e-05	-0.02867796087811368	0	0	1	1
-1.517e-05	-0.02800365993872083	0	0	1	1
-1.516e-05	-0.02867796087811368	0	0	1	1
-1.515e-05	-0.0300265627568994	0	0	1	1
-1.514e-05	-0.02834081040841726	0	0	1	1
-1.513e-05	-0.02800365993872083	0	0	1	1
-1.512e-05	-0.0276665094690244	0	0	1	1
-1.511e-05	-0.02699220852963154	0	0	1	1
-1.51e-05	-0.02834081040841726	0	0	1	1
-1.509e-05	-0.02732935899932797	0	0	1	1
-1.508e-05	-0.02901511134781011	0	0	1	1
-1.507e-05	-0.0276665094690244	0	0	1	1
-1.506e-05	-0.02834081040841726	0	0	1	1
-1.505e-05	-0.0276665094690244	0	0	1	1
-1.504e-05	-0.02631790759023868	0	0	1	1
-1.503e-05	-0.02732935899932797	0	0	1	1
-1.502e-05	-0.02598075712054225	0	0	1	1
-1.501e-05	-0.02598075712054225	0	0	1	1
-1.5e-05	-0.02564360665084582	0	0	1	1
-1.499e-05	-0.02564360665084582	0	0	1	1
-1.498e-05	-0.02631790759023868	0	0	1	1
-1.497e-05	-0.02496930571145296	0	0	1	1
-1.496e-05	-0.02463215524175653	0	0	1	1
-1.495e-05	-0.0276665094690244	0	0	1	1
-1.494e-05	-0.02732935899932797	0	0	1	1
-1.493e-05	-0.02665505805993511	0	0	1	1
-1.492e-05	-0.02429500477206011	0	0	1	1
-1.491e-05	-0.02665505805993511	0	0	1	1
-1.49e-05	-0.02699220852963154	0	0	1	1
-1.489e-05	-0.02564360665084582	0	0	1	1
-1.488e-05	-0.02429500477206011	0	0	1	1
-1.487e-05	-0.02598075712054225	0	0	1	1
-1.486e-05	-0.02598075712054225	0	0	1	1
-1.485e-05	-0.02496930571145296	0	0	1	1
-1.484e-05	-0.02564360665084582	0	0	1	1
-1.483e-05	-0.02631790759023868	0	0	1	1
-1.482e-05	-0.02665505805993511	0	0	1	1
-1.481e-05	-0.02598075712054225	0	0	1	1
-1.48e-05	-0.02530645618114939	0	0	1	1
-1.479e-05	-0.0276665094690244	0	0	1	1
